Type,ID,Name,IconPath,Description
Bag,101,가방1,/,
Bag,102,가방2,/,
Bag,103,가방3,/,
Bag,104,가방4,/,
Bag,105,가방5,/,
Bag,106,가방6,/,
Bag,107,가방7,/,
Bag,108,가방8,/,
Bag,109,가방9,/,
Bag,110,가방10,/,
Bag,111,가방11,/,
Bag,112,가방12,/,
Bag,113,가방13,/,
Bag,114,가방14,/,
Bag,115,가방15,/,
Bag,116,가방16,/,
Bag,117,가방17,/,
Bag,118,가방18,/,
Bottom,201,하의1,/,
Bottom,202,하의2,/,
Bottom,203,하의3,/,
Bottom,204,하의4,/,
Bottom,205,하의5,/,
Bottom,206,하의6,/,
Bottom,207,하의7,/,
Bottom,208,하의8,/,
Bottom,209,하의9,/,
Bottom,210,하의10,/,
Bottom,211,하의11,/,
Bottom,212,하의12,/,
Bottom,213,하의13,/,
Bottom,214,하의14,/,
Bottom,215,하의15,/,
Bottom,216,하의16,/,
Bottom,217,하의17,/,
Bottom,218,하의18,/,
Bottom,219,하의19,/,
Bottom,220,하의20,/,
Bottom,221,하의21,/,
Bottom,222,하의22,/,
Bottom,223,하의23,/,
Bottom,224,하의24,/,
Bottom,225,하의25,/,
Bottom,226,하의26,/,
Bottom,227,하의27,/,
Bottom,228,하의28,/,
Bottom,229,하의29,/,
Bottom,230,하의30,/,
Bottom,231,하의31,/,
Bottom,232,하의32,/,
Bottom,233,하의33,/,
Bottom,234,하의34,/,
Bottom,235,하의35,/,
Bottom,236,하의36,/,
Bottom,237,하의37,/,
Bottom,238,하의38,/,
Bottom,239,하의39,/,
Bottom,240,하의40,/,
Bottom,241,하의41,/,
Bottom,242,하의42,/,
Bottom,243,하의43,/,
Bottom,244,하의44,/,
Bottom,245,하의45,/,
Bottom,246,하의46,/,
Bottom,247,하의47,/,
Bottom,248,하의48,/,
Bottom,249,하의49,/,
Bottom,250,하의50,/,
Bottom,251,하의51,/,
Bottom,252,하의52,/,
Bottom,253,하의53,/,
Bottom,254,하의54,/,
Bottom,255,하의55,/,
Handwear,301,손장식1,/,
Handwear,302,손장식2,/,
Handwear,303,손장식3,/,
Handwear,304,손장식4,/,
Handwear,305,손장식5,/,
Handwear,306,손장식6,/,
Handwear,307,손장식7,/,
Handwear,308,손장식8,/,
Handwear,309,손장식9,/,
Handwear,310,손장식10,/,
Handwear,311,손장식11,/,
Handwear,312,손장식12,/,
Handwear,313,손장식13,/,
Handwear,314,손장식14,/,
Handwear,315,손장식15,/,
Handwear,316,손장식16,/,
Handwear,317,손장식17,/,
Handwear,318,손장식18,/,
Handwear,319,손장식19,/,
Handwear,320,손장식20,/,
Handwear,321,손장식21,/,
Handwear,322,손장식22,/,
Handwear,323,손장식23,/,
Handwear,324,손장식24,/,
Handwear,325,손장식25,/,
Handwear,326,손장식26,/,
Handwear,327,손장식27,/,
Handwear,328,손장식28,/,
Handwear,329,손장식29,/,
Handwear,330,손장식30,/,
Handwear,331,손장식31,/,
Handwear,332,손장식32,/,
Earing,401,귀걸이1,/,
Earing,402,귀걸이2,/,
Earing,403,귀걸이3,/,
Earing,404,귀걸이4,/,
Earing,405,귀걸이5,/,
Earing,406,귀걸이6,/,
Earing,407,귀걸이7,/,
Earing,408,귀걸이8,/,
Earing,409,귀걸이9,/,
Earing,410,귀걸이10,/,
Earing,411,귀걸이11,/,
Earing,412,귀걸이12,/,
Earing,413,귀걸이13,/,
Earing,414,귀걸이14,/,
Earing,415,귀걸이15,/,
Earing,416,귀걸이16,/,
Earing,417,귀걸이17,/,
Earing,418,귀걸이18,/,
Earing,419,귀걸이19,/,
Earing,420,귀걸이20,/,
Eyewear,501,눈장식1,/,
Eyewear,502,눈장식2,/,
Eyewear,503,눈장식3,/,
Eyewear,504,눈장식4,/,
Eyewear,505,눈장식5,/,
Eyewear,506,눈장식6,/,
Eyewear,507,눈장식7,/,
Eyewear,508,눈장식8,/,
Eyewear,509,눈장식9,/,
Eyewear,510,눈장식10,/,
Eyewear,511,눈장식11,/,
Eyewear,512,눈장식12,/,
Eyewear,513,눈장식13,/,
Eyewear,514,눈장식14,/,
Eyewear,515,눈장식15,/,
Eyewear,516,눈장식16,/,
Eyewear,517,눈장식17,/,
Eyewear,518,눈장식18,/,
Headgear,601,머리장식1,/,
Headgear,602,머리장식2,/,
